inning,pitcher,season,hits_allowed,walks,strikeouts,batters_faced,runs_allowed,ERA_season,WHIP_season,FIP_season,K/9_season,BB/9_season,xFIP_season,CSW%_season,xERA_season,runs_rolling10_team,OBP_team,SLG_team,K_rate_team,BB_rate_team,is_home_team,label
1,621244,2023,5,2,10,9,4,3.65,1.19,3.99,8.73,2.47,4.01,0.294,4.51,0.7,0.3958333333333333,0.4102564102564102,0.2291666666666666,0.1875,False,0
1,670912,2023,7,3,6,9,6,4.31,1.37,4.49,8.0,4.2,4.87,0.265,4.61,0.3,0.4,0.21875,0.2,0.2666666666666666,True,1
1,571578,2023,6,4,2,9,4,5.2,1.48,5.28,6.2,2.85,4.76,0.25,6.16,0.7,0.3478260869565217,0.5952380952380952,0.217391304347826,0.0652173913043478,True,1
1,641540,2023,3,1,7,9,0,3.7,1.26,4.27,7.3,2.87,4.39,0.2739999999999999,4.48,0.5,0.3023255813953488,0.3809523809523809,0.3953488372093023,0.0232558139534883,True,0
1,571945,2023,5,2,5,10,1,4.78,1.32,4.27,6.12,1.74,4.76,0.25,5.44,0.6,0.44,0.4358974358974359,0.14,0.2,True,1
1,664299,2023,3,3,6,9,2,4.56,1.27,4.58,8.83,3.44,5.16,0.252,4.42,0.0,0.2051282051282051,0.1875,0.2051282051282051,0.1282051282051282,True,0
1,669923,2023,5,0,4,9,0,3.35,1.04,3.34,8.12,0.9,3.63,0.273,3.9,0.5,0.3478260869565217,0.5,0.1956521739130435,0.0869565217391304,False,1
1,621107,2023,5,0,4,9,3,3.5,1.02,3.01,9.42,1.22,3.12,0.302,3.02,0.3,0.2702702702702703,0.3428571428571428,0.1081081081081081,0.054054054054054,True,0
1,657006,2023,6,1,6,9,2,3.06,1.17,3.02,9.14,1.87,3.32,0.262,3.5,0.7,0.3333333333333333,0.7555555555555555,0.1875,0.0416666666666666,True,1
1,693821,2023,7,4,2,9,5,3.81,1.28,4.42,6.6,3.25,4.49,0.264,4.61,0.4,0.3333333333333333,0.3714285714285714,0.238095238095238,0.1666666666666666,False,0
1,673540,2023,3,3,8,9,2,2.98,1.22,3.63,10.93,4.17,3.77,0.28,3.87,1.1,0.4259259259259259,0.723404255319149,0.2222222222222222,0.1296296296296296,False,1
1,592332,2023,3,2,5,9,0,3.16,1.18,2.97,11.53,2.68,3.22,0.296,3.85,0.7,0.42,0.4102564102564102,0.24,0.22,False,0
